athlete_id,communication_preference,strava_activity_posts,social_media_followers,community_group_memberships,coaches_mentors,close_friends_in_sport,training_partners,club_memberships,volunteer_activities,leadership_roles,preferred_communication_frequency,community_engagement_score,social_support_network_size
ATH_001,One-on-One,34,429,1,1,7,1,0,3,None,Monthly,9.287334301689974,26
ATH_002,Text,33,480,8,2,17,3,0,3,Coach,Daily,4.434938826206123,33
ATH_003,App-based,147,513,9,2,11,2,2,1,Club President,Weekly,7.040514517491798,23
ATH_004,One-on-One,196,503,2,2,9,3,0,0,Coach,Daily,8.198694777304905,13
ATH_005,Group Forums,145,834,7,1,15,1,2,2,Team Lead,Daily,7.9629385079563875,28
ATH_006,App-based,10,58,9,2,7,1,0,0,Club President,As Needed,1.3129531810494677,12
ATH_007,Group Forums,52,36,0,1,7,3,0,2,Coach,Monthly,5.038991511659819,49
ATH_008,One-on-One,103,649,1,1,17,1,0,0,Club President,Daily,5.928751814701988,3
ATH_009,Group Forums,128,64,7,0,7,2,0,1,Coach,As Needed,5.938044338727829,28
ATH_010,Video,81,747,4,0,8,1,0,3,None,Daily,5.204498989602571,27
ATH_011,Group Forums,89,287,0,1,16,0,2,4,Coach,Monthly,1.3152759048278937,17
ATH_012,Video,80,484,4,0,15,0,2,4,Club President,Weekly,9.68118345837257,46
ATH_013,Video,10,724,8,2,18,0,1,4,None,Weekly,6.800783420203809,14
ATH_014,Text,2,349,9,2,18,3,0,1,Team Lead,Weekly,5.843086124605007,12
ATH_015,Group Forums,85,154,1,1,14,2,1,3,None,Monthly,6.767764514820189,9
ATH_016,App-based,35,689,5,1,12,3,0,1,Coach,Weekly,1.7064576680960468,42
ATH_017,Video,120,349,1,2,13,4,0,2,Team Lead,Weekly,1.068140325118419,8
ATH_018,Text,56,805,5,2,17,1,2,0,Coach,Monthly,7.727836310817463,49
ATH_019,App-based,165,311,2,1,15,4,0,2,Club President,Monthly,5.332481685913037,36
ATH_020,One-on-One,105,289,5,1,5,4,1,2,Team Lead,Monthly,2.7603010386059106,3
ATH_021,Text,64,947,4,2,10,3,2,4,None,Daily,8.980787335748943,32
ATH_022,Group Forums,158,791,2,2,4,0,0,0,Coach,Weekly,7.917334032306644,36
ATH_023,One-on-One,82,293,6,0,13,3,0,1,Team Lead,As Needed,1.6373157426179428,38
ATH_024,One-on-One,184,757,4,1,2,3,1,3,Coach,Daily,1.4276354180469828,25
ATH_025,One-on-One,164,704,5,2,4,0,0,4,None,As Needed,7.47620852782938,16
ATH_026,Group Forums,93,288,1,0,14,2,1,1,Coach,Weekly,2.9374954954455017,14
ATH_027,Text,109,222,4,1,1,0,1,0,Club President,Weekly,4.363186595731931,4
ATH_028,Text,116,489,8,1,19,2,0,1,Team Lead,Daily,6.292289551851836,35
ATH_029,Text,93,409,3,2,13,2,0,0,Coach,As Needed,5.401344816626809,34
ATH_030,Group Forums,163,976,7,0,7,4,1,3,Club President,Monthly,1.9271854111595546,38
ATH_031,Video,133,180,2,1,12,2,1,1,None,Daily,8.859645275485427,28
ATH_032,Video,75,175,8,1,18,1,1,4,Coach,As Needed,3.989157480005666,49
ATH_033,App-based,164,408,3,0,6,3,1,0,Team Lead,Monthly,7.837496184713631,33
ATH_034,Group Forums,159,607,0,1,4,0,2,0,None,Weekly,5.6320499093348575,24
ATH_035,One-on-One,31,668,0,0,9,2,2,2,Coach,As Needed,6.907497731656126,33
ATH_036,Text,81,229,9,2,3,3,0,1,Team Lead,Weekly,9.987225598939222,33
ATH_037,App-based,36,869,5,0,10,4,1,1,Coach,Daily,5.2554315123069895,40
ATH_038,Video,105,388,4,1,7,0,2,4,Club President,As Needed,2.402237750727193,17
ATH_039,Group Forums,146,267,7,1,10,4,2,4,Coach,Weekly,8.511127233839808,10
ATH_040,App-based,166,829,9,2,3,4,2,1,Team Lead,Weekly,7.473552112627814,19
ATH_041,App-based,21,748,9,1,11,0,1,1,Team Lead,Daily,3.867635523965979,17
ATH_042,Text,47,847,4,2,9,2,0,0,Club President,Daily,7.685149667462911,39
ATH_043,One-on-One,67,512,6,1,18,0,2,2,Coach,Monthly,1.6055681386409164,41
ATH_044,App-based,10,219,2,1,14,2,2,2,Club President,As Needed,1.0232079570870942,13
ATH_045,One-on-One,196,805,5,0,7,0,1,2,Team Lead,Weekly,3.3550530072539217,22
ATH_046,Text,162,432,3,2,17,3,2,4,Club President,Weekly,3.6119175814968103,43
ATH_047,App-based,56,324,2,0,8,1,2,1,Team Lead,Weekly,1.4893486606799904,32
ATH_048,Video,72,653,5,2,14,3,2,3,Club President,Monthly,2.8760667067438446,30
ATH_049,Text,35,775,5,1,14,4,2,4,None,As Needed,8.784070802536423,16
ATH_050,Group Forums,147,815,6,1,2,0,1,2,Coach,As Needed,2.0100551494630774,47
