athlete_id,date,energy_level,motivation_level,stress_level,overall_mood,notes
ATH_001,2023-10-19,3,3,9,5,
ATH_001,2023-12-07,5,6,4,6,
ATH_001,2023-04-07,2,1,7,7,
ATH_001,2024-05-29,5,2,7,8,Good training session
ATH_001,2023-01-28,1,7,8,6,Good training session
ATH_001,2024-04-09,10,7,6,7,
ATH_001,2023-03-06,4,4,8,5,Good training session
ATH_001,2023-05-28,5,6,8,5,Feeling strong
ATH_001,2024-08-27,9,5,10,1,
ATH_001,2023-01-04,1,9,2,7,Recovery day needed
ATH_001,2024-10-02,9,1,9,3,
ATH_001,2024-02-22,2,1,3,6,Felt great today
ATH_001,2023-10-02,9,5,7,7,
ATH_001,2023-05-06,6,2,2,5,Tired from yesterday
ATH_001,2024-11-30,5,5,5,8,
ATH_001,2024-01-17,7,7,6,4,
ATH_001,2024-02-08,1,2,2,9,
ATH_001,2024-01-07,7,3,9,5,
ATH_001,2023-05-02,6,1,10,4,Good training session
ATH_001,2023-06-09,7,2,7,6,
ATH_001,2023-08-23,10,3,6,8,
ATH_001,2023-12-07,7,10,7,7,Tired from yesterday
ATH_001,2024-07-03,6,7,8,4,
ATH_001,2024-08-06,3,6,1,7,
ATH_001,2024-04-24,10,4,10,3,
ATH_001,2024-02-11,7,3,10,8,
ATH_001,2023-04-22,7,7,4,7,
ATH_001,2023-12-25,1,4,10,5,
ATH_001,2024-10-17,6,6,2,5,
ATH_001,2023-07-22,7,8,2,9,
ATH_001,2023-07-12,10,6,7,5,
ATH_001,2024-02-27,7,10,8,1,
ATH_001,2024-04-09,10,7,7,3,
ATH_001,2024-09-19,4,2,7,7,
ATH_001,2023-01-20,8,6,10,6,Good training session
ATH_001,2023-06-19,5,8,2,8,Felt great today
ATH_001,2024-09-10,7,5,1,10,Feeling strong
ATH_001,2024-12-17,6,5,5,6,
ATH_001,2024-12-15,6,3,1,6,Tired from yesterday
ATH_001,2023-11-07,1,2,10,4,
ATH_001,2023-02-01,6,1,7,8,Good training session
ATH_001,2024-01-07,10,10,10,7,
ATH_001,2023-05-02,9,7,7,5,Tired from yesterday
ATH_001,2024-04-10,3,8,8,6,
ATH_001,2023-01-29,4,6,2,9,Struggled with motivation
ATH_002,2023-09-11,6,8,7,5,
ATH_002,2024-12-11,8,5,8,4,
ATH_002,2023-03-20,8,10,2,9,
ATH_002,2024-02-21,9,8,3,6,
ATH_002,2023-01-22,8,7,2,4,
ATH_002,2024-04-08,7,8,7,1,Struggled with motivation
ATH_002,2024-07-21,4,8,9,6,Good training session
ATH_002,2023-02-14,3,4,6,8,
ATH_002,2023-02-09,8,4,10,1,
ATH_002,2024-01-24,4,7,10,4,
ATH_002,2024-12-17,4,1,6,9,Struggled with motivation
ATH_002,2024-02-15,4,6,9,5,
ATH_002,2023-03-19,2,8,9,3,
ATH_002,2024-02-17,6,9,6,5,
ATH_002,2024-10-03,5,9,3,8,
ATH_002,2023-12-26,4,1,10,3,Felt great today
ATH_002,2023-09-30,3,2,2,5,Feeling strong
ATH_002,2024-05-29,8,10,4,10,
ATH_002,2023-01-19,1,8,1,7,
ATH_002,2024-06-08,1,6,8,3,
ATH_002,2024-05-01,1,7,3,6,Good training session
