athlete_id,date,communication_type,platform,duration_minutes,contact_id,sentiment
ATH_001,2024-02-29,Call,Discord,34,CONTACT_005,Positive
ATH_001,2024-07-01,Email,WhatsApp,0,CONTACT_001,Positive
ATH_001,2024-02-27,Message,Discord,0,CONTACT_004,Positive
ATH_001,2024-03-21,Email,Strava,0,CONTACT_004,Positive
ATH_001,2023-02-22,Call,Strava,26,CONTACT_002,Positive
ATH_001,2024-09-16,Group chat,Phone,17,CONTACT_003,Negative
ATH_001,2023-01-27,Call,Email,44,CONTACT_004,Neutral
ATH_001,2024-12-09,Call,Instagram,25,CONTACT_005,Positive
ATH_001,2024-02-28,Call,WhatsApp,5,CONTACT_001,Positive
ATH_001,2023-08-22,Message,Discord,0,CONTACT_003,Negative
ATH_002,2024-05-27,Social media,WhatsApp,0,CONTACT_005,Positive
ATH_002,2024-03-30,Email,WhatsApp,0,CONTACT_062,Positive
ATH_002,2023-10-03,Message,Instagram,0,CONTACT_007,Neutral
ATH_002,2024-10-20,Group chat,WhatsApp,39,CONTACT_004,Negative
ATH_002,2023-07-05,Social media,Email,0,CONTACT_058,Neutral
ATH_002,2023-10-20,Social media,Strava,0,CONTACT_064,Neutral
ATH_002,2023-07-01,Message,WhatsApp,0,CONTACT_054,Neutral
ATH_002,2024-11-21,Email,Email,0,CONTACT_064,Positive
ATH_002,2024-09-11,Call,WhatsApp,10,CONTACT_061,Negative
ATH_002,2023-04-06,Email,Instagram,0,CONTACT_011,Negative
ATH_002,2024-01-20,Group chat,Discord,9,CONTACT_071,Positive
ATH_002,2023-11-10,Social media,Instagram,0,CONTACT_041,Neutral
ATH_002,2023-12-19,Message,Email,0,CONTACT_013,Positive
ATH_002,2024-01-13,Message,Email,0,CONTACT_034,Positive
ATH_002,2024-06-22,Call,Strava,46,CONTACT_044,Negative
ATH_002,2024-11-23,Email,Strava,0,CONTACT_057,Negative
ATH_002,2024-11-19,Email,Email,0,CONTACT_054,Positive
ATH_002,2024-11-22,Email,Instagram,0,CONTACT_003,Neutral
ATH_002,2024-12-21,Email,Phone,0,CONTACT_075,Neutral
ATH_002,2024-04-11,Message,Discord,0,CONTACT_072,Positive
ATH_002,2024-08-16,Message,Phone,0,CONTACT_076,Neutral
ATH_002,2024-10-07,Call,Strava,8,CONTACT_042,Positive
ATH_002,2024-11-02,Email,Instagram,0,CONTACT_039,Positive
ATH_002,2023-09-22,Social media,Strava,0,CONTACT_057,Positive
ATH_002,2023-03-09,Message,Instagram,0,CONTACT_039,Negative
ATH_002,2023-03-23,Call,Instagram,10,CONTACT_022,Neutral
ATH_002,2024-10-01,Message,Instagram,0,CONTACT_039,Positive
ATH_002,2023-08-30,Social media,Email,0,CONTACT_013,Positive
ATH_002,2023-11-18,Email,Email,0,CONTACT_079,Negative
ATH_002,2023-07-12,Message,WhatsApp,0,CONTACT_049,Neutral
ATH_002,2024-11-21,Social media,Phone,0,CONTACT_039,Negative
ATH_002,2023-03-20,Social media,Instagram,0,CONTACT_050,Neutral
ATH_002,2023-07-22,Email,WhatsApp,0,CONTACT_082,Positive
ATH_002,2024-09-18,Call,WhatsApp,28,CONTACT_020,Positive
ATH_002,2024-03-14,Social media,Discord,0,CONTACT_010,Neutral
ATH_002,2023-09-20,Social media,Email,0,CONTACT_010,Positive
ATH_002,2023-04-22,Social media,Strava,0,CONTACT_013,Positive
ATH_002,2023-04-24,Call,Email,18,CONTACT_050,Positive
ATH_002,2024-10-06,Call,Email,41,CONTACT_059,Negative
ATH_002,2023-03-21,Email,WhatsApp,0,CONTACT_028,Neutral
ATH_002,2024-04-10,Call,Phone,44,CONTACT_059,Positive
ATH_002,2024-07-07,Social media,Instagram,0,CONTACT_024,Neutral
ATH_002,2024-06-17,Social media,Discord,0,CONTACT_006,Positive
ATH_002,2023-08-22,Call,Email,18,CONTACT_049,Neutral
ATH_002,2023-09-26,Social media,Instagram,0,CONTACT_049,Negative
ATH_002,2024-01-11,Email,Instagram,0,CONTACT_051,Positive
ATH_002,2024-02-17,Social media,Email,0,CONTACT_028,Positive
ATH_002,2024-12-16,Message,Discord,0,CONTACT_047,Positive
ATH_002,2023-10-12,Social media,WhatsApp,0,CONTACT_007,Positive
ATH_002,2024-12-20,Call,Strava,22,CONTACT_078,Neutral
ATH_002,2023-11-24,Call,Email,20,CONTACT_020,Positive
ATH_002,2024-06-17,Social media,WhatsApp,0,CONTACT_008,Negative
ATH_002,2024-06-24,Call,Instagram,26,CONTACT_067,Neutral
ATH_002,2023-10-19,Group chat,Strava,29,CONTACT_031,Neutral
ATH_002,2024-05-27,Social media,WhatsApp,0,CONTACT_014,Positive
ATH_002,2023-11-09,Call,Discord,40,CONTACT_011,Positive
ATH_002,2024-10-06,Group chat,Strava,7,CONTACT_082,Neutral
ATH_002,2024-06-26,Group chat,Email,57,CONTACT_028,Positive
ATH_002,2024-03-01,Social media,WhatsApp,0,CONTACT_025,Negative
ATH_002,2024-02-27,Call,Instagram,9,CONTACT_070,Positive
ATH_002,2024-02-29,Social media,WhatsApp,0,CONTACT_007,Neutral
ATH_002,2024-02-21,Email,Email,0,CONTACT_005,Positive
ATH_002,2024-10-03,Email,Strava,0,CONTACT_033,Neutral
ATH_002,2024-02-23,Call,Instagram,19,CONTACT_057,Positive
ATH_002,2024-04-29,Email,WhatsApp,0,CONTACT_008,Positive
ATH_002,2024-06-25,Message,Phone,0,CONTACT_025,Positive
ATH_002,2023-07-25,Message,Discord,0,CONTACT_008,Positive
ATH_002,2024-10-12,Social media,WhatsApp,0,CONTACT_038,Negative
ATH_002,2024-02-15,Message,Discord,0,CONTACT_008,Neutral
ATH_002,2024-03-27,Social media,Phone,0,CONTACT_048,Positive
ATH_002,2023-06-02,Call,Discord,58,CONTACT_049,Neutral
ATH_002,2023-06-15,Email,Discord,0,CONTACT_053,Positive
ATH_002,2023-09-30,Social media,Instagram,0,CONTACT_074,Negative
ATH_002,2024-03-31,Call,WhatsApp,60,CONTACT_057,Positive
ATH_002,2023-06-02,Email,Discord,0,CONTACT_023,Negative
ATH_002,2023-10-25,Social media,Email,0,CONTACT_046,Positive
ATH_002,2023-12-31,Group chat,WhatsApp,11,CONTACT_065,Neutral
ATH_002,2024-01-10,Call,Instagram,58,CONTACT_063,Neutral
ATH_002,2024-04-18,Call,Instagram,24,CONTACT_023,Positive
ATH_002,2023-09-30,Group chat,Email,36,CONTACT_038,Positive
ATH_002,2024-08-07,Social media,Discord,0,CONTACT_005,Neutral
ATH_002,2024-02-06,Message,Email,0,CONTACT_037,Negative
ATH_002,2023-07-06,Group chat,Discord,49,CONTACT_071,Negative
ATH_002,2023-12-14,Call,Discord,28,CONTACT_010,Negative
ATH_002,2023-09-02,Social media,Discord,0,CONTACT_004,Negative
ATH_002,2023-10-23,Message,Discord,0,CONTACT_065,Negative
ATH_002,2024-11-03,Social media,Strava,0,CONTACT_073,Neutral
ATH_002,2023-03-27,Email,WhatsApp,0,CONTACT_034,Positive
ATH_002,2023-07-06,Email,Instagram,0,CONTACT_071,Neutral
ATH_002,2024-04-16,Call,WhatsApp,44,CONTACT_069,Negative
ATH_002,2024-05-09,Message,Instagram,0,CONTACT_069,Positive
ATH_002,2024-08-03,Group chat,Discord,16,CONTACT_080,Positive
ATH_002,2024-07-04,Social media,Instagram,0,CONTACT_063,Negative
ATH_002,2023-07-12,Social media,Phone,0,CONTACT_021,Neutral
ATH_002,2024-01-24,Social media,Phone,0,CONTACT_055,Positive
ATH_002,2023-11-13,Call,WhatsApp,5,CONTACT_049,Negative
ATH_002,2023-01-31,Social media,WhatsApp,0,CONTACT_010,Positive
ATH_002,2024-01-21,Call,Email,33,CONTACT_003,Neutral
ATH_002,2024-03-13,Email,Email,0,CONTACT_027,Neutral
ATH_002,2024-11-16,Social media,WhatsApp,0,CONTACT_059,Neutral
ATH_002,2023-02-10,Message,Email,0,CONTACT_024,Positive
ATH_002,2023-11-20,Email,Instagram,0,CONTACT_038,Negative
ATH_002,2024-02-11,Group chat,Phone,33,CONTACT_077,Positive
ATH_002,2023-03-23,Call,WhatsApp,40,CONTACT_075,Negative
ATH_002,2023-12-04,Social media,Phone,0,CONTACT_035,Positive
ATH_002,2024-05-21,Message,WhatsApp,0,CONTACT_048,Positive
ATH_002,2024-06-04,Email,WhatsApp,0,CONTACT_031,Neutral
ATH_002,2024-12-20,Group chat,Discord,54,CONTACT_051,Positive
ATH_002,2023-06-22,Message,Instagram,0,CONTACT_007,Negative
ATH_002,2023-09-20,Call,Phone,21,CONTACT_059,Positive
ATH_002,2023-09-23,Social media,Phone,0,CONTACT_015,Positive
ATH_002,2023-02-20,Message,Discord,0,CONTACT_032,Positive
ATH_002,2024-04-11,Call,Instagram,36,CONTACT_018,Positive
ATH_003,2024-03-21,Email,Phone,0,CONTACT_012,Neutral
ATH_003,2023-06-22,Group chat,Phone,46,CONTACT_012,Negative
ATH_003,2023-05-01,Message,WhatsApp,0,CONTACT_017,Neutral
ATH_003,2024-11-23,Social media,WhatsApp,0,CONTACT_017,Neutral
ATH_003,2023-04-10,Call,Phone,36,CONTACT_018,Positive
ATH_003,2023-11-25,Email,Email,0,CONTACT_013,Positive
ATH_003,2024-03-11,Group chat,Phone,43,CONTACT_020,Neutral
ATH_003,2024-04-26,Email,Phone,0,CONTACT_022,Positive
ATH_003,2023-06-07,Social media,Strava,0,CONTACT_016,Positive
ATH_003,2024-05-04,Email,WhatsApp,0,CONTACT_005,Neutral
ATH_003,2024-06-01,Call,Strava,46,CONTACT_022,Neutral
ATH_003,2024-10-22,Group chat,Email,7,CONTACT_016,Negative
ATH_003,2024-12-26,Social media,Instagram,0,CONTACT_012,Positive
ATH_003,2023-10-14,Social media,WhatsApp,0,CONTACT_001,Positive
ATH_003,2024-07-04,Social media,Email,0,CONTACT_019,Positive
ATH_003,2024-07-24,Email,Strava,0,CONTACT_018,Neutral
ATH_003,2024-07-27,Call,Instagram,6,CONTACT_019,Neutral
ATH_003,2024-06-21,Message,Strava,0,CONTACT_002,Positive
ATH_003,2023-01-11,Call,Instagram,12,CONTACT_022,Positive
ATH_003,2024-04-24,Message,Instagram,0,CONTACT_002,Neutral
ATH_003,2023-11-13,Group chat,Discord,58,CONTACT_012,Neutral
ATH_003,2023-12-26,Email,Email,0,CONTACT_018,Neutral
ATH_003,2024-04-21,Email,Email,0,CONTACT_008,Positive
ATH_003,2023-03-13,Email,Email,0,CONTACT_017,Positive
ATH_003,2023-07-11,Email,Instagram,0,CONTACT_012,Positive
ATH_003,2023-03-12,Email,Instagram,0,CONTACT_020,Neutral
ATH_003,2023-08-27,Message,WhatsApp,0,CONTACT_011,Positive
ATH_003,2023-07-01,Group chat,Instagram,29,CONTACT_010,Neutral
ATH_003,2023-04-29,Social media,Email,0,CONTACT_021,Negative
