athlete_id,date,activity_type,distance_km,duration_minutes,elevation_gain_m,avg_heart_rate,max_heart_rate,calories_burned
ATH_001,2023-09-09,Football,5,26,0,114,137,241
ATH_001,2023-06-12,Cycling,71.19,168,77,135,150,1488
ATH_001,2024-01-11,Cycling,65.86,155,816,117,139,1202
ATH_001,2024-04-08,Basketball,10.83,63,0,128,142,327
ATH_001,2023-06-03,Cycling,76.58,180,1817,144,169,1176
ATH_001,2023-09-06,Cycling,59.9,141,620,135,155,1153
ATH_001,2023-03-03,Cycling,71.11,167,0,121,131,1397
ATH_001,2024-07-28,Cycling,57.2,135,0,146,171,1066
ATH_001,2024-03-28,Cycling,88.36,208,2485,135,145,2097
ATH_001,2023-03-25,Cycling,66.09,156,0,102,119,1188
ATH_001,2023-11-06,Triathlon,6.35,46,0,136,148,381
ATH_001,2023-11-04,Cycling,56.88,134,323,106,119,1051
ATH_001,2024-07-18,Cycling,77.71,183,353,133,152,1487
ATH_001,2024-12-23,Football,5,28,0,129,154,147
ATH_001,2024-07-17,Cycling,72.77,171,620,152,163,1645
ATH_001,2024-05-09,Cycling,57.13,134,1759,146,163,460
ATH_001,2024-08-18,Cycling,79.7,188,3225,133,154,1060
ATH_001,2024-07-14,Tennis,19.81,158,0,136,148,1525
ATH_001,2024-08-19,Rowing,7.15,53,0,128,143,415
ATH_001,2023-09-04,CrossFit,10.94,138,0,141,156,949
ATH_001,2024-03-29,Basketball,10.67,98,0,144,162,720
ATH_001,2024-05-03,Cycling,53.54,126,1093,136,160,1372
ATH_001,2023-12-20,Football,11.64,89,0,132,153,520
ATH_001,2024-11-04,Cycling,69.71,164,712,138,149,1629
ATH_001,2024-01-03,Cycling,66.76,157,996,125,149,1665
ATH_001,2023-02-11,Football,10.52,11,0,121,137,110
ATH_001,2024-10-22,Running,23.57,131,165,116,134,754
ATH_001,2024-04-09,Cycling,41.17,97,113,151,162,948
ATH_001,2024-01-28,Cycling,89.98,212,1092,115,136,1978
ATH_001,2024-06-01,Cycling,51.73,122,753,141,163,978
ATH_001,2023-05-03,Cycling,53.8,127,1703,137,152,1396
ATH_001,2024-03-25,Cycling,71.26,168,1713,123,140,2050
ATH_001,2023-01-18,Basketball,14.21,158,0,118,130,1699
ATH_001,2024-10-01,Cycling,79.23,187,557,122,143,1564
ATH_001,2024-11-22,Cycling,45.51,107,0,120,135,1368
