athlete_id,event_date,event_type,description,impact_rating,career_phase
ATH_0001,2024-02-06,Team change,Team change event,5,Intermediate
ATH_0001,2024-04-05,Retirement consideration,Retirement consideration event,8,Intermediate
ATH_0001,2024-07-27,Competition,Participated in international competition,4,Intermediate
ATH_0002,2021-10-04,Career change,Started new position,5,Intermediate
ATH_0002,2024-01-30,Team change,Team change event,4,Intermediate
ATH_0002,2024-04-23,Major competition,Major competition event,3,Intermediate
ATH_0002,2022-03-15,Career change,Started new position,5,Intermediate
ATH_0002,2024-04-02,Coach change,Coach change event,4,Intermediate
ATH_0002,2024-12-30,Training camp,Training camp event,2,Intermediate
ATH_0002,2024-07-22,Retirement consideration,Retirement consideration event,4,Intermediate
ATH_0002,2021-01-28,Coach change,Coach change event,7,Intermediate
ATH_0002,2024-11-09,Major competition,Major competition event,7,Intermediate
ATH_0003,2023-10-26,Team change,Team change event,8,Intermediate
ATH_0003,2022-09-17,Family event,Family event event,3,Intermediate
ATH_0003,2024-04-26,Training milestone,Reached personal best,6,Intermediate
ATH_0003,2023-12-21,Team change,Team change event,7,Intermediate
ATH_0003,2022-05-31,Coach change,Coach change event,6,Intermediate
ATH_0003,2023-04-25,Race victory,Won age group,6,Intermediate
ATH_0003,2023-12-28,Competition,Participated in triathlon,5,Intermediate
ATH_0003,2022-12-03,Coach change,Coach change event,7,Intermediate
ATH_0004,2020-10-31,Personal achievement,Personal achievement event,5,Advanced
ATH_0004,2023-07-03,Competition,Participated in regional qualifier,4,Advanced
ATH_0004,2024-12-02,Injury recovery,Injury recovery event,6,Advanced
ATH_0004,2019-01-31,Competition,Participated in championship,6,Advanced
ATH_0004,2020-12-18,Training camp,Training camp event,8,Advanced
ATH_0004,2022-07-24,Team change,Team change event,5,Advanced
ATH_0004,2023-01-29,Training milestone,Reached 1000km milestone,4,Advanced
ATH_0004,2022-04-26,Location change,Relocated to new city,5,Advanced
ATH_0004,2019-08-06,Location change,Relocated to new city,6,Advanced
ATH_0004,2021-09-22,Sponsorship deal,Sponsorship deal event,7,Advanced
ATH_0004,2019-07-14,Personal achievement,Personal achievement event,6,Advanced
ATH_0004,2022-08-31,Sponsorship deal,Sponsorship deal event,5,Advanced
