feature,coefficient,abs_coefficient
age_similarity,1.5815676151833504,1.5815676151833504
distance_similarity,1.3795919848523284,1.3795919848523284
network_overlap,0.7312410448870429,0.7312410448870429
life_event_similarity,0.577164419626087,0.577164419626087
recovery_similarity,0.40325171443996266,0.40325171443996266
activity_frequency_similarity,0.3918887674313291,0.3918887674313291
resting_hr_alignment,0.3067944058347095,0.3067944058347095
partner_support_similarity,0.180088130580807,0.180088130580807
communication_compatibility,0.17107311344043366,0.17107311344043366
coaching_alignment,0.13916780584747923,0.13916780584747923
residence_similarity,0.10781059680183841,0.10781059680183841
injury_experience_match,0.06773582665720218,0.06773582665720218
social_alignment,0.057412133900479424,0.057412133900479424
